ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
29	K964841	44	Progesterone	1999-05-07
29	K964841	7147	Progesterone	1997-07-11
29	K964841	7148	Progesterone	1997-07-11
29	K965084	166	Progesterone	1997-01-24
29	K970227	210	Progesterone	1997-12-12
29	K971103	96	Progesterone	2003-12-18
29	K971103	96	Progesterone	2005-02-17
29	K971103	97	Progesterone	2005-02-17
29	K971103	1178	Progesterone	2000-01-18
29	K971103	1179	Progesterone	1997-09-26
29	K971418	7917	Progesterone	1998-04-24
29	K971418	15363	Progesterone	2008-09-04
29	K971418	15414	Progesterone	2008-09-04
29	K971418	18951	Progesterone	2011-08-02
29	K971725	5034	Progesterone	1997-06-27
29	K971725	5035	Progesterone	1997-06-27
29	K971725	5254	Progesterone	1997-06-27
29	K972133	115	Progesterone	1998-02-20
29	K972133	7731	Progesterone	1997-08-01
29	K973898	8230	Progesterone	1999-03-26
29	K982328	162	Progesterone	2000-01-18
29	K983212	149	Progesterone	2002-08-16
29	X020012	49	Progesterone	2002-10-25
29	X020012	50	Progesterone	2002-10-25
29	X040015	105	Progesterone	2004-07-08
29	X040015	106	Progesterone	2004-07-08
29	X050013	12843	Progesterone	2005-12-12
29	X060026	13669	Progesterone	2006-11-22
29	X070013	14153	Progesterone	2007-06-01
29	X070033	14208	Progesterone	2007-07-27
29	X070052	14432	Progesterone	2007-10-02
29	X080085	15070	Progesterone	2008-12-08
29	X080091	15405	Progesterone	2008-09-04
29	X090048	15992	Progesterone	2009-04-14
29	X090057	15954	Progesterone	2009-04-21
29	X090057	15955	Progesterone	2009-04-21
29	X090057	15956	Progesterone	2009-04-21
29	X100007	2032	Progesterone	2010-06-18
29	X100007	15508	Progesterone	2010-06-18
29	X100007	15690	Progesterone	2010-06-18
29	X100034	17398	Progesterone	2012-01-23
29	X110043	18515	Progesterone	2011-05-04
29	X110060	17677	Progesterone	2011-08-16
29	X110060	18204	Progesterone	2011-08-16
29	X110060	18307	Progesterone	2011-08-16
29	X110060	18309	Progesterone	2011-08-16
29	X130018	22039	Progesterone	2013-10-15
29	X130018	22041	Progesterone	2013-10-15
29	X130018	22099	Progesterone	2013-10-15
29	X130018	22100	Progesterone	2013-10-15
43	E990015	4731	Epinephrine (adrenalin)	1999-04-02
43	E990016	4732	Epinephrine (adrenalin)	1999-04-02
43	E990018	4734	Epinephrine (adrenalin)	1999-04-02
43	E990020	4736	Epinephrine (adrenalin)	1999-04-02
43	X030020	73	Epinephrine (adrenalin)	2003-09-25
43	X030025	73	Epinephrine (adrenalin)	2003-09-25
43	X030035	73	Epinephrine (adrenalin)	2003-09-25
43	X030038	73	Epinephrine (adrenalin)	2003-10-01
43	X030042	73	Epinephrine (adrenalin)	2003-10-02
43	X030043	73	Epinephrine (adrenalin)	2003-10-02
44	E990014	4730	Norepinephrine (noradrenalin)	1999-04-02
44	E990015	4731	Norepinephrine (noradrenalin)	1999-04-02
44	E990016	4732	Norepinephrine (noradrenalin)	1999-04-02
44	E990017	4733	Norepinephrine (noradrenalin)	1999-04-02
44	X030021	73	Norepinephrine (noradrenalin)	2003-09-25
44	X030041	73	Norepinephrine (noradrenalin)	2003-10-02
46	CDC000006	9110	5-Hydroxyindolacetic acid, urine (5-HIAA)	1993-07-26
46	CDC000006	9111	5-Hydroxyindolacetic acid, urine (5-HIAA)	1993-07-26
46	K934977	5660	5-Hydroxyindolacetic acid, urine (5-HIAA)	1994-06-10
46	K952817	6780	5-Hydroxyindolacetic acid, urine (5-HIAA)	1995-09-15
46	X030026	73	5-Hydroxyindolacetic acid, urine (5-HIAA)	2003-09-25
47	CDC000139	10511	Serotonin	1993-07-26
47	E990021	4737	Serotonin	1999-05-07
47	X030027	73	Serotonin	2003-09-25
47	X030028	73	Serotonin	2003-09-25
73	CR170533	28252	Prostatic specific antigen, complexed (Cpsa)	2018-08-08
73	CR230490	35314	Prostatic specific antigen, complexed (Cpsa)	2024-02-20
73	K002313	129	Prostatic specific antigen, complexed (Cpsa)	2000-09-12
73	K002376	60	Prostatic specific antigen, complexed (Cpsa)	2000-11-01
73	K002376	125	Prostatic specific antigen, complexed (Cpsa)	2000-11-01
73	K022288	2638	Prostatic specific antigen, complexed (Cpsa)	2002-12-17
73	K980376	1005	Prostatic specific antigen, complexed (Cpsa)	1998-08-21
73	P990055	60	Prostatic specific antigen, complexed (Cpsa)	2002-12-12
73	P990055	125	Prostatic specific antigen, complexed (Cpsa)	2002-12-12
73	P990055	129	Prostatic specific antigen, complexed (Cpsa)	2002-03-19
73	P990055	12723	Prostatic specific antigen, complexed (Cpsa)	2005-10-13
73	P990055	16274	Prostatic specific antigen, complexed (Cpsa)	2009-07-01
77	CDC000037	9593	Cyclosporine	1993-07-26
77	CDC000141	10572	Cyclosporine	1993-07-26
77	CDC000415	9110	Cyclosporine	1993-07-26
77	CDC000415	9111	Cyclosporine	1993-07-26
77	CR150008	22913	Cyclosporine	2015-02-05
77	CR150226	23924	Cyclosporine	2015-07-29
77	CR180026	27435	Cyclosporine	2018-01-25
77	CR180306	27961	Cyclosporine	2018-05-23
77	CR180306	27967	Cyclosporine	2018-05-23
77	CR190194	29561	Cyclosporine	2019-05-07
77	CR230533	34375	Cyclosporine	2023-10-10
77	K010061	4634	Cyclosporine	2005-01-26
77	K010061	15153	Cyclosporine	2011-06-20
77	K010061	15154	Cyclosporine	2011-06-20
77	K010061	15155	Cyclosporine	2011-06-20
77	K010061	15156	Cyclosporine	2011-06-20
77	K023065	156	Cyclosporine	2003-05-05
77	K023065	2771	Cyclosporine	2002-09-26
77	K023065	2827	Cyclosporine	2002-12-04
77	K023065	2828	Cyclosporine	2002-12-04
77	K023208	2783	Cyclosporine	2002-10-30
77	K023208	2784	Cyclosporine	2002-10-30
77	K023208	2785	Cyclosporine	2002-10-30
77	K023208	2786	Cyclosporine	2002-10-30
77	K023208	2787	Cyclosporine	2002-10-30
77	K023208	2788	Cyclosporine	2002-10-30
77	K023208	2789	Cyclosporine	2002-10-30
77	K023208	3291	Cyclosporine	2003-05-01
77	K023208	3292	Cyclosporine	2003-05-01
77	K023208	3293	Cyclosporine	2003-05-01
77	K023208	21449	Cyclosporine	2013-02-19
77	K023208	22325	Cyclosporine	2014-01-30
77	K023208	22326	Cyclosporine	2014-01-30
77	K023208	22327	Cyclosporine	2014-01-30
77	K040761	130	Cyclosporine	2004-05-03
77	K051087	14900	Cyclosporine	2008-02-28
77	K051087	15958	Cyclosporine	2009-09-14
77	K051087	15959	Cyclosporine	2009-09-14
77	K052017	12634	Cyclosporine	2005-09-09
77	K052017	12635	Cyclosporine	2005-09-09
77	K052017	12636	Cyclosporine	2005-09-09
77	K052017	12637	Cyclosporine	2005-09-09
77	K053061	13137	Cyclosporine	2006-05-01
77	K053061	13138	Cyclosporine	2006-05-01
77	K053061	20185	Cyclosporine	2012-03-20
77	K053061	20186	Cyclosporine	2012-03-20
77	K053061	20187	Cyclosporine	2012-03-20
77	K062236	13224	Cyclosporine	2006-08-22
77	K071455	15444	Cyclosporine	2008-09-12
77	K073604	15121	Cyclosporine	2009-07-08
77	K073604	18263	Cyclosporine	2011-08-16
77	K080751	14153	Cyclosporine	2009-07-01
77	K080751	15405	Cyclosporine	2009-01-05
77	K080751	15415	Cyclosporine	2009-01-05
77	K081992	15058	Cyclosporine	2008-11-04
77	K081992	20343	Cyclosporine	2012-05-23
77	K081992	20344	Cyclosporine	2012-05-23
77	K944093	65	Cyclosporine	2003-10-23
77	K944093	14426	Cyclosporine	2007-12-13
77	P920031	139	Cyclosporine	2002-07-26
77	P920031	140	Cyclosporine	2002-08-13
77	P920031	141	Cyclosporine	2002-08-13
77	P920031	167	Cyclosporine	2004-04-05
77	P920031	168	Cyclosporine	2004-04-05
77	P920031	169	Cyclosporine	2004-04-05
77	P920031	13096	Cyclosporine	2006-03-23
77	P920031	13100	Cyclosporine	2006-03-23
85	CDC000016	9224	Phencyclidine (PCP)	1993-07-26
85	CDC000050	5454	Phencyclidine (PCP)	1993-07-26
85	CDC000090	5583	Phencyclidine (PCP)	1993-07-26
85	CDC000090	9979	Phencyclidine (PCP)	1993-07-26
85	CDC000100	5785	Phencyclidine (PCP)	1993-07-26
85	CDC000104	10140	Phencyclidine (PCP)	1993-07-26
85	CDC000109	10161	Phencyclidine (PCP)	1993-07-26
85	CDC000139	10506	Phencyclidine (PCP)	1993-07-26
85	CDC000139	10507	Phencyclidine (PCP)	1993-07-26
85	CDC000235	175	Phencyclidine (PCP)	1993-07-26
85	CDC000246	11311	Phencyclidine (PCP)	1993-07-26
85	CDC000257	11380	Phencyclidine (PCP)	1993-07-26
85	CDC000257	11381	Phencyclidine (PCP)	1993-07-26
85	CDC000257	11382	Phencyclidine (PCP)	1993-07-26
85	CDC000274	6319	Phencyclidine (PCP)	1993-07-26
85	CDC000313	6975	Phencyclidine (PCP)	1994-09-01
85	CDC000313	7256	Phencyclidine (PCP)	1994-09-01
85	CDC000313	7257	Phencyclidine (PCP)	1994-09-01
85	CDC000399	11994	Phencyclidine (PCP)	1998-04-24
85	CDC000399	11999	Phencyclidine (PCP)	1998-04-24
85	CDC000401	5822	Phencyclidine (PCP)	1998-09-18
85	CDC000417	71	Phencyclidine (PCP)	1993-07-26
85	CDC000417	9110	Phencyclidine (PCP)	1993-07-26
85	CDC000417	9111	Phencyclidine (PCP)	1993-07-26
85	CDC000427	5348	Phencyclidine (PCP)	1993-07-26
85	CDC000427	5349	Phencyclidine (PCP)	1993-07-26
85	CDC000427	5350	Phencyclidine (PCP)	1993-07-26
85	CDC000427	5351	Phencyclidine (PCP)	1993-07-26
85	CDC000434	5327	Phencyclidine (PCP)	1993-07-26
85	CDC000434	5328	Phencyclidine (PCP)	1993-07-26
85	CDC000434	5329	Phencyclidine (PCP)	1993-07-26
85	CDC000434	5757	Phencyclidine (PCP)	1993-07-26
85	CDC000434	6937	Phencyclidine (PCP)	1993-07-26
85	CDC000434	6938	Phencyclidine (PCP)	1993-07-26
85	CDC000440	6576	Phencyclidine (PCP)	1993-07-26
85	CDC000440	6577	Phencyclidine (PCP)	1993-07-26
85	CDC000440	6578	Phencyclidine (PCP)	1993-07-26
85	CDC000445	5817	Phencyclidine (PCP)	1993-07-26
85	CDC000445	5818	Phencyclidine (PCP)	1993-07-26
85	CDC000445	5820	Phencyclidine (PCP)	1993-07-26
85	CDC000445	5821	Phencyclidine (PCP)	1993-07-26
85	CDC000447	5819	Phencyclidine (PCP)	1993-07-26
85	CDC000450	5279	Phencyclidine (PCP)	1993-07-26
85	CDC000450	5384	Phencyclidine (PCP)	1993-07-26
85	CDC000450	10584	Phencyclidine (PCP)	1993-07-26
85	CDC000450	10585	Phencyclidine (PCP)	1993-07-26
85	CDC000453	5278	Phencyclidine (PCP)	1993-07-26
85	CDC000462	5691	Phencyclidine (PCP)	1993-07-26
85	CDC000462	6613	Phencyclidine (PCP)	1993-07-26
85	CDC000462	6879	Phencyclidine (PCP)	1993-07-26
85	CDC000462	6974	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7254	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7255	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7258	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7259	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7260	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7261	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7262	Phencyclidine (PCP)	1993-07-26
85	CDC000462	7264	Phencyclidine (PCP)	1993-07-26
85	CDC000468	10	Phencyclidine (PCP)	1993-07-26
85	CDC000468	560	Phencyclidine (PCP)	1993-07-26
85	CDC000468	5331	Phencyclidine (PCP)	1993-07-26
85	CDC000468	5332	Phencyclidine (PCP)	1993-07-26
85	CDC000468	5647	Phencyclidine (PCP)	1993-07-26
85	CDC000468	6760	Phencyclidine (PCP)	1993-07-26
85	CDC000468	11170	Phencyclidine (PCP)	1993-07-26
85	CDC000468	11173	Phencyclidine (PCP)	1993-07-26
85	CDC000474	5598	Phencyclidine (PCP)	1993-07-26
85	CDC000474	5599	Phencyclidine (PCP)	1993-07-26
85	CDC000474	6801	Phencyclidine (PCP)	1993-07-26
85	CDC000474	6971	Phencyclidine (PCP)	1993-07-26
85	CDC000474	6973	Phencyclidine (PCP)	1993-07-26
85	CDC000481	937	Phencyclidine (PCP)	1999-05-07
85	CDC000481	3062	Phencyclidine (PCP)	1999-05-07
85	CDC000481	3254	Phencyclidine (PCP)	1999-05-07
85	CDC000481	6939	Phencyclidine (PCP)	1999-05-07
85	CDC000483	6940	Phencyclidine (PCP)	1999-05-07
85	CR140084	22538	Phencyclidine (PCP)	2014-05-02
85	CR140134	22569	Phencyclidine (PCP)	2014-05-12
85	CR140134	22570	Phencyclidine (PCP)	2014-05-12
85	CR140143	22637	Phencyclidine (PCP)	2014-08-20
85	CR140143	22638	Phencyclidine (PCP)	2014-08-20
85	CR140143	22639	Phencyclidine (PCP)	2014-08-20
85	CR140143	22640	Phencyclidine (PCP)	2014-08-20
85	CR140144	22641	Phencyclidine (PCP)	2014-08-06
85	CR140144	22642	Phencyclidine (PCP)	2014-08-06
85	CR140144	22643	Phencyclidine (PCP)	2014-08-06
85	CR140144	22645	Phencyclidine (PCP)	2014-08-06
85	CR140144	22646	Phencyclidine (PCP)	2014-08-06
85	CR140159	22740	Phencyclidine (PCP)	2014-07-09
85	CR140177	22662	Phencyclidine (PCP)	2014-06-10
85	CR140207	22699	Phencyclidine (PCP)	2014-06-27
85	CR140212	22682	Phencyclidine (PCP)	2014-06-26
85	CR140212	22683	Phencyclidine (PCP)	2014-06-26
85	CR140220	22751	Phencyclidine (PCP)	2014-07-15
85	CR140243	22728	Phencyclidine (PCP)	2014-07-07
85	CR140290	22824	Phencyclidine (PCP)	2014-08-26
85	CR140292	22812	Phencyclidine (PCP)	2014-08-22
85	CR140294	22913	Phencyclidine (PCP)	2018-05-14
85	CR140327	22923	Phencyclidine (PCP)	2014-10-02
85	CR140332	22830	Phencyclidine (PCP)	2014-09-18
85	CR140334	22916	Phencyclidine (PCP)	2014-10-09
85	CR140334	22919	Phencyclidine (PCP)	2014-10-09
85	CR140352	22941	Phencyclidine (PCP)	2014-12-01
85	CR140352	22944	Phencyclidine (PCP)	2014-12-01
85	CR140385	22994	Phencyclidine (PCP)	2014-12-19
85	CR140385	22996	Phencyclidine (PCP)	2014-12-19
85	CR140399	22936	Phencyclidine (PCP)	2014-10-31
85	CR140416	22982	Phencyclidine (PCP)	2014-11-13
85	CR140416	22983	Phencyclidine (PCP)	2014-11-13
85	CR140449	23101	Phencyclidine (PCP)	2014-12-10
85	CR140462	23132	Phencyclidine (PCP)	2014-12-22
85	CR140462	23133	Phencyclidine (PCP)	2014-12-22
85	CR140462	23153	Phencyclidine (PCP)	2014-12-22
85	CR140462	23154	Phencyclidine (PCP)	2014-12-22
85	CR140468	23155	Phencyclidine (PCP)	2014-12-19
85	CR140468	23156	Phencyclidine (PCP)	2014-12-19
